,ID,text,clean_text
508,90,"People have been interested in science from the earliest times. Early man discovered how to process natural ores into metals for ornaments, weapons and tools. At least years ago, ancient people were already using embalming fluids (chemicals) obtained from plants to preserve the bodies of dead people and animals!",people interested science earliest time early man discovered process natural ore metal ornament weapon tool year ago ancient people embalming fluid chemical plant preserve body dead people animal
509,536,"You might recall similar situations. For example, while taking a penalty kick in football, the player applies a force on the ball. Before being hit, the ball was at rest and so its speed was zero. The applied force makes the ball move towards the goal. Suppose, the goalkeeper dives or jumps up to save the goal. By his action the goalkeeper tries to apply a force on the moving ball. The force applied by him can stop or deflect the ball, saving a goal being scored. If the goalkeeper succeeds in stopping the ball, its speed decreases to zero.",recall situation penalty kick football player applies force ball hit ball rest speed applied force ball goal suppose goalkeeper dive jump save goal his action goalkeeper apply force moving ball force applied him deflect ball saving goal scored goalkeeper succeeds stopping ball speed decrease
510,897,Problem of the scarcity of resources : Scarcity of resources is the root cause of all economic problems of man .,problem scarcity resource scarcity resource root economic problem man
511,802,Man - made first synthetic fibre is nylon .,man synthetic fibre nylon
512,459,He has to deposit a minimum Tk : 100 . 00 as initial deposit with the application form .,he deposit minimum tk initial deposit application form
513,767,"Denial of rights of men occur at different places like service arrangements , military , police , local bodies , educational institutions etc. .",denial right men occur place service arrangement military police local body educational institution
514,859,Taking effective and preventive measures against severe diseases man has become able to recover from his illness and avoid inevitable death .,effective preventive measure severe disease man recover his illness avoid inevitable death
515,1740,The volume . litres is also called gram molecular volume .,volume litre called gram molecular volume
516,766,Each man lives in some society or other .,man life society
517,1788,d. Sarojini Naidu iv) Prepared a Constitution for India in,sarojini naidu prepared constitution india
518,169,"In other words , Bangla was the mother tongue of the people of East Pakistan .",bangla mother tongue people east pakistan
519,1930,"Aside from the physical dangers associated with illegal electrical connections, why else are they illegal?",physical danger illegal electrical connection illegal
520,1802,In this case the symbol of manganese is Mn and that of magnesium is Mg .,case symbol manganese magnesium
521,839,An astronaut performs an experiment to determine the relationship between mass and weight on different planets. He takes a scale and sets off in a spaceship and measures his own weight on different planets in the solar system. The following table indicates his results.,astronaut performs experiment determine relationship mass weight planet he take scale set spaceship measure his weight planet solar table his
522,1712,Mount Maon of the Philippines and the Fujiama of Japan are the examples of this type of volcanoes .,mount maon philippine fujiama japan example type volcano
523,210,A merchant travelling in from Hamburg to Nuremberg to sell his goods would have had to pass through customs barriers and pay a customs duty of about per cent at each one of them.,merchant travelling hamburg nuremberg sell his good pas custom barrier pay custom duty cent
524,1993,Because in general sense mass is called weight .,general sense mass called weight
525,914,The earth takes a full day to complete rotation once on her axis .,earth take day complete rotation her axis
526,1041,Know this : Robert Boyle was the rst scientist to use the term element .,robert boyle rst scientist term element
527,716,"The teachers are men of the highest ability and talent. They follow the teachings of the Buddha in all sincerity. The rules of the monastery are strict, and everyone has to follow them. Discussions are held throughout the day, and the old and the young mutually help one another. Learned men from different cities come here to settle their doubts. The gatekeeper asks new entrants difficult questions. They are allowed to enter only after they have been able to answer these. Seven or eight out of every ten are not able to answer.",teacher men highest ability talent follow teaching buddha sincerity rule monastery strict follow discussion held day young mutually learned men city settle doubt gatekeeper asks entrant difficult question allowed enter answer answer
528,1953,Now you measure them with any device .,measure device
529,546,She has to take active steps in implementing the activities according to the plan and monitor the implementation process taking proper steps .,she active step implementing activity plan monitor implementation process proper step
530,947,He would do so with the help of a clinical thermometer .,he clinical thermometer
531,309,"Apart from holding a stick in his hand , a goalkeeper wears helmets , leg guards , kickers to kick the ball , chest protector , hand gloves , groin or pelvic protector , and arm guards .",holding stick his hand goalkeeper wear helmet leg guard kicker kick ball chest protector hand glove groin pelvic protector arm guard
532,746,Science always has the potential to be the protector of man .,science potential protector man
533,1872,"Your teacher might provide you with a large model house template for you to cut out. If not, copy the following template onto a large piece of cardboard or design your own template for making a house.",teacher provide large model house template cut copy template large piece cardboard design template making house
534,423,"Democritus' ideas about matter were ignored and forgotten for more than years, until an Englishman by the name of John Dalton reintroduced them to the scientific world in . Dalton made five claims about atoms that are still largely accepted as the truth today. Three of these claims, or postulates as they are more commonly called, tell us how to understand elements. We will get to the remaining two postulates later. Here is what Dalton taught us about elements:",democritus idea matter forgotten year englishman john dalton reintroduced scientific dalton claim atom accepted truth today claim postulate commonly called understand element remaining postulate dalton taught element
535,795,Political science is one of the social sciences dealing with the political activities of man .,political science social science dealing political activity man
536,1541,"In the preparation of food by the plants , glucose is produced and oxygen is released .",preparation food plant glucose produced oxygen released
537,41,As his own son,his son
538,1168,Step II: List the number of atoms of different elements present in the unbalanced equation (.).,step list number atom element unbalanced equation
539,1321,"Have a taste with your tongue , it has no taste .",taste tongue taste
540,1830,The wealth that was accumulated in this way was one of the most important factors that enabled England to develop industries and establish their dominance in the world.,wealth accumulated factor enabled england develop industry establish dominance
541,370,"So if one has the idea of market price , he will not be befooled by the shopkeepers .",idea market price he befooled shopkeeper
542,510,All he has to do is find a buyer for his shoes.,he buyer his shoe
543,739,Then it was Ramanamma who said that we should meet the Ward Councillor and protest since we elected him.,ramanamma meet ward councillor protest elected him
544,1164,Increase of production : As a result of division of labour volume of production increases largely and the prices of commodities come down .,increase production result division labour volume production increase price commodity
545,662,The process of knitting sweater for six years old boy is described below .,process knitting sweater year boy
546,1657,g. . Advantages : With this posture leg and neck muscles are strengthened .,advantage posture leg neck muscle strengthened
547,109,In this form of businesses the owner ' s responsibilities are unlimited as he is alone to share the profit and the loss of the business .,form business owner responsibility unlimited he share profit loss business
548,1349,food chain: a series of organisms linked together to show which one eats what; arrows show the flow of energy through it,food chain series organism linked eats arrow flow energy
549,1147,Producers produce goods according to the demand of the consumers .,producer produce good demand consumer
550,843,"He can tell him about the cheap rate of other shops in a polite manner , and then he may buy it at a low price .",he him cheap rate shop polite manner he buy low price
551,377,"Again , when the sons and daughters start their own family life , it contracts .",son daughter start family life contract
552,1324,"Large MNCs in the garment industry in Europe and America order their products from Indian exporters. These large MNCs with worldwide network look for the cheapest goods in order to maximise their profits. To get these large orders, Indian garment exporters try hard to cut their own costs. As cost of raw materials cannot be reduced, exporters try to cut labour costs. Where earlier a factory used to employ workers on a permanent basis, now they employ workers only on a temporary basis so that they do not have to pay workers for the whole year. Workers also have to put in very long working hours and work night shifts on a regular basis during the peak season. Wages are low and workers are forced to work overtime to make both ends meet.",large mncs garment industry europe america order product indian exporter large mncs worldwide network cheapest good order maximise profit large order indian garment exporter hard cut cost cost raw material reduced exporter cut labour cost earlier factory employ worker permanent basis employ worker temporary basis pay worker year worker long working hour work night shift regular basis peak season wage low worker forced work overtime end meet
553,1035,How does heating or cooling a gas change its pressure?,heating cooling gas change pressure
554,788,"So if a political party is motivated only by desire to be in power, even then it will be forced to serve the people. This is a bit like the way market works. Even if a shopkeeper is interested only in his profit, he is forced to give good service to the customers. If he does not, the customer will go to some other shop. Similarly, political competition may cause divisions and some ugliness, but it finally helps to force political parties and leaders to serve the people.",political party motivated desire power forced serve people bit market work shopkeeper interested his profit he forced good service customer he customer shop political competition division ugliness finally help force political party leader serve people
555,727,Figure . : Basic stance and skill of the goal keeper VII Ball stopping skill : The goal keeper should stop his movements and maintain his basic position in a stable manner while the attacker is about to take a shot .,figure basic stance skill goal keeper vii ball stopping skill goal keeper his movement maintain his basic position stable manner attacker shot
556,1384,) Follow through : Both hands are lifted up and ngers are pointed towards the target following the execution .,follow hand lifted ngers pointed target execution
557,1861,Private entrepreneurs had started industries from the beginning of the th century .,private entrepreneur started industry century
558,320,"Again suppose , a player changes the course of a football passing over his head towards the goal , by heading .",suppose player football passing his head goal heading
559,762,"According to our social tradition , the housewife has the responsibility to look after her father - in - law , mother - in - law , husband and children .",social tradition housewife responsibility her father law mother law husband child
560,1326,The time taken to complete one oscillation is called time period .,time complete oscillation called time period
561,818,"If a boy occupies an item for a long time , other boys / girls will be deprived .",boy occupies item long time boy girl deprived
562,1181,"Railways exist in all the districts excepting the hilly districts of Rangamati , Khagrachhari , Bandarban and the districts of Barisal , Patuakhali and Barguna .",railway exist district excepting hilly district rangamati khagrachhari bandarban district barisal patuakhali barguna
563,345,"How does one obtain this capital? One can either use his own savings, but more often has to take a loan.",capital his saving loan
564,1663,"All atoms of a particular element are identical in shape , mass and other properties , but are different from the atoms of other elements .",atom element identical shape mass property atom element
565,1275,". A change in temperature. Aquatic organisms are used to a certain range of temperature in the water-body where they live, and a sudden marked change in this temperature would be dangerous for them or affect their breeding. The eggs and larvae of various animals are particularly susceptible to temperature changes.",change temperature aquatic organism range temperature waterbody live sudden marked change temperature dangerous affect breeding egg larva animal susceptible temperature
566,1900,"Angered by this , people embraced the trees whenever someone came to cut down the trees and prevented the destruction of the forest .",angered people embraced tree cut tree prevented destruction forest
567,559,"In this stage , she has to observe whether the work is being done accordingly and if it is not , she should take decision about further measures .",stage she observe work she decision measure
568,1466,"silambam Flute I CANE ( PIRAMBU ) , and various grasses and reeds like ( KORAI PUL ) .",silambam flute cane pirambu grass reed korai pul
569,1976,"When two solutions of different concentration are separated by a semi permeable membrane , the solvent from the dilute solution moves through the semi permeable membrane to the solution of higher concentration .",solution concentration separated semi permeable membrane solvent dilute solution move semi permeable membrane solution higher concentration
570,113,It is the boys of this age who generally perform all outdoor work of the family .,boy age generally perform outdoor work family
571,740,"Suppose, you want to go to your friend s house, but you don t know the way. Your friend may make a rough drawing to show the way to his house.",suppose friend house friend rough drawing his house
572,373,The statue with the body of a lion and the head of man is called .,statue body lion head man called
573,68,"(iii) When a consumer feels that he has been exploited, he must file a case in the District Consumer Court.",iii consumer feel he exploited he file case district consumer court
574,1575,The agriculture is commercial and well organised near densely populated urban areas .,agriculture commercial organised densely populated urban area
575,1816,A force does not always result in a change in the state of the object .,force result change state object
576,1428,"Wheat Maize The other popular crops are barley , oat and potato .",wheat maize popular crop barley oat potato
577,129,In his absence vice president will presides over the meetings .,his absence vice president presides meeting
578,255,"In Awadh, peasants were led by Baba Ramchandra a sanyasi who had earlier been to Fiji as an indentured labourer. The movement here was against talukdars and landlords who demanded from peasants exorbitantly high rents and a variety of other cesses. Peasants had to do begar and work at landlords farms without any payment. As tenants they had no security of tenure, being regularly evicted so that they could acquire no right over the leased land.",awadh peasant led baba ramchandra sanyasi earlier fiji indentured labourer movement talukdars landlord demanded peasant exorbitantly high rent variety ce peasant begar work landlord farm payment tenant security tenure regularly evicted acquire leased land
579,1054,Have you seen an aquarium or do you have an aquarium in your house ?,aquarium aquarium house
580,188,"Sound it makes wow , wow Food it eats Where it lives rice , meat kennel Relationship with man friend , guard Sl.No .",sound wow wow food eats life rice meat kennel relationship man friend guard slno
581,761,"Man s capacity for justice makes democracy possible, but man s inclination to injustice makes democracy necessary",man capacity justice democracy man inclination injustice democracy
582,56,'' What is superior to brute force '' g. . Fishermen 's Net Note : This game can be practised as a lead up game for the game Kabaddi .,superior brute force fisherman net note game practised lead game game kabaddi
583,1963,"The reproductive organs of a male consists of testes, sperm ducts and penis.",reproductive organ male consists testis sperm duct penis
584,1686,"But now , in my family we are only me , my husband and my two children .",family husband child
585,1395,"The racquet is made from a blend of materials including steel , aluminum , ceramic and boron .",racquet blend material including steel aluminum ceramic boron
586,1236,It is the duty of the home manager to take proper care of them .,duty manager proper care
587,902,Our mother prepares food for us .,mother prepares food
588,144,A girl of bright complexion can wear clothing of any colour .,girl bright complexion wear clothing colour
589,1916,"GIVE REASONS FOR YOUR ANSWER V. TRY OUT A RAINBOW IN YOUR CLASSROOM MATERIALS NEEDED : CD/DVD , Torch Light , White Sheet PROCEDURE : Paste a sheet on the wall .",reason answer rainbow classroom material needed cddvd torch light white sheet procedure paste sheet wall
590,1998,PotassiumProtein synthesisEnables the opening and closing of stomata MagnesiumEssential for the synthesis of chlorophyllEnhances the activity of respiratory enzymesBrown coloured dried spots on leavesLeaf veins turn yellowPurple colour on the lower surface of leavesYellow colour between the veins of the leaf .,potassiumprotein synthesisenables opening closing stoma magnesiumessential synthesis chlorophyllenhances activity respiratory enzymesbrown coloured dried spot leavesleaf vein turn yellowpurple colour lower surface leavesyellow colour vein leaf
591,156,"One hundred and fifty years ago the first Indian cricketers, the Parsis, had to struggle to find an open space to play in. Today, the global marketplace has made Indian players the best-paid, most famous cricketers in the game, men for whom the world is a stage. The history that brought about this transformation was made up of many smaller changes: the replacement of the gentlemanly amateur by the paid professional, the triumph of the one-day game as it overshadowed Test cricket in terms of popularity, and the remarkable changes in global commerce and technology. The business of history is to make sense of change over time. In this chapter we have followed the spread of a colonial sport through its history, and tried to understand how it adapted to a post-colonial world.",fifty year ago indian cricketer parsi struggle open space play today global marketplace indian player bestpaid famous cricketer game men stage history brought transformation smaller replacement gentlemanly amateur paid professional triumph oneday game overshadowed test cricket term popularity remarkable global commerce technology business history sense change time chapter spread colonial sport history understand adapted postcolonial
592,1755,. We would not be able to see any object around us if light does not get reflected. How do you appreciate this property of objects?,object light reflected property object
593,552,"In ancient times , men used to eat fire burnt food , but at present time in this civilized world , men learnt many techniques for cooking .",ancient time men eat burnt food time civilized men learnt technique cooking
594,789,"For , he is our elected leader .",he elected leader
595,1888,Then this vegetable are tied around with a thread and then cooked .,vegetable tied thread cooked
596,781,"At this stage , she has to make planning in keeping with the demands and choice of the family members and afterward she will take decision .",stage she planning keeping demand choice family member afterward she decision
597,1052,The Government had to abandon the policy of Laissez-faire and was forced to enact factory laws to regulate the working conditions in the factories .,government abandon policy laissezfaire forced enact factory law regulate working condition factory
598,870,"He led a quiet but significant social revolution and gave the watchwords One Caste, One Religion, One God for all men .",he led quiet social revolution watchword caste religion god men
599,735,"( d ) Pushing anti-tactics : - In this defensive skill , it is very important that the raider keeps complete control on his body which means the raider is made to go out of the line .",pushing antitactics defensive skill raider complete control his body raider
600,1335,State some measures as solution to rural inoccupation .,state measure solution rural inoccupation
601,953,His sister and elder daughter take care of the household.,his sister elder daughter care household
602,1105,. What is a constellation? Name any two constellations.,constellation constellation
603,356,Find out why an Indian farmer does not want his son to become a farmer.,indian farmer his son farmer
604,1170,At present all the paper mills are state - owned .,paper mill state owned
605,326,Side by side we also notice that a common man also follows the scientific working procedure .,notice common man scientific working procedure
606,1363,Amylase converts complex carbohydrates into simple sugars .,amylase convert complex carbohydrate simple sugar
607,962,"( ( ( Hippocrates , the Father of Medicine , listed organisms with medicinal value .",hippocrates father medicine listed organism medicinal
608,906,Oxygen is indispensable for respiration of man and other animals .,oxygen indispensable respiration man animal
609,1272,"The team whose name is called has to chase and catch the other team and join as many of them as possible , while the team whose name has not been called has to turn and run to the restraining line .",team called chase catch team join team called turn restraining
610,93,Nation constitutes the largest community among all the groups of man .,nation constitutes largest community group man
611,834,He should move towards the direction of the ball .,he direction ball
612,49,Which sources of water are man - made ?,source water man
613,393,He would only float in it .,he float
614,1618,"The power of observing , thinking , remembering and thirst for knowledge can make an individual great Intelligence is an immeasurable quality .",power observing thinking remembering thirst knowledge individual great intelligence immeasurable quality
615,1265,Let us perform an activity to study the flow of blood through arteries.,perform activity study flow blood artery
616,1396,"Using the dropper or pipette, add a few drops of the Biuret solution to the test tube containing albumin.",dropper pipette add drop biuret solution test tube albumin
617,1154,The outer layer of the pericardium is attached to the sternum and other structures in the chest cavity and helps hold the heart in place .,outer layer pericardium attached sternum structure chest cavity help hold heart place
618,734,The number of times a man breathes in a minute is called the breathing rate .,number time man breathes minute called breathing rate
619,1780,"Most of the air of the atmosphere , about 75 % of the atmospheric weight , belongs to this layer .",air atmosphere atmospheric weight belongs layer
620,1418,The budget also shows how the deficit will be met if income is less than expenditure or where the surplus will be spent if income is higher than expenditure .,budget deficit met income expenditure surplus spent income higher expenditure
621,1216,Your descriptions of the careers you are interested in:,description career interested
622,179,"If mother is a service holder , she also spends money for the family .",mother service holder she spends money family
623,85,The progress in information technology has brought knowledge literally at the finger-tip of man .,progress technology brought knowledge literally fingertip man
624,196,"For the safety of the home , she should make a proper arrangement of fire extinguishing and drainage system and dumping of the refuse .",safety she proper arrangement extinguishing drainage dumping refuse
625,960,"Thus by , a global agricultural economy had taken shape, accompanied by complex changes in labour movement patterns, capital flows, ecologies and technology. Food no longer came from a nearby village or town, but from thousands of miles away. It was not grown by a peasant tilling his own land, but by an agricultural worker, perhaps recently arrived, who was now working on a large farm that only a generation ago had most likely been a forest. It was transported by railway, built for that very purpose, and by ships which were increasingly manned in these decades by low-paid workers from southern Europe, Asia, Africa and the Caribbean.",global agricultural economy shape accompanied complex labour movement pattern capital flow ecology technology food longer nearby village town thousand mile grown peasant tilling his land agricultural worker arrived working large farm generation ago forest transported railway built purpose ship increasingly manned decade lowpaid worker southern europe asia africa caribbean
626,581,her father was Golikere Krishnaraya and mother Tungabai .,her father golikere krishnaraya mother tungabai
627,289,"Novels for young boys idealised a new type of man: someone who was powerful, assertive, independent and daring. Most of these novels were full of adventure set in places remote from Europe. The colonisers appear heroic and honourable confronting native peoples and strange surroundings, adapting to native life as well as changing it, colonising territories and then developing nations there. Books like R.L. Stevenson s Treasure Island () or Rudyard Kipling s Jungle Book () became great hits.",novel young boy idealised type man powerful assertive independent daring novel adventure set place remote europe coloniser heroic honourable confronting native people strange surroundings adapting native life changing colonising territory developing nation book stevenson treasure island rudyard kipling jungle book great hit
628,983,"By using time properly , a human being can prosper in his / her personal and social life and can contribute to the economic development of the country as well .",time properly human prosper his her personal social life contribute economic development country
629,166,In man rod cells are few and cone cells are more in the yellow spot .,man rod cell cone cell yellow spot
630,995,"With the help of science , man has developed various fields related to his life and means of livelihood .",science man developed field his life livelihood
631,641,"The vigorous exercise which boys get from cricket, etc., must be supplied in the case of girls by walking and skipping.",vigorous exercise boy cricket supplied case girl walking skipping
632,1826,Some homes do not have drains running to a common treatment plant. They usually have a septic tank instead. These are units of waste disposal used at homes usually in villages/towns and in some individual houses in cities.,home drain running common treatment plant septic tank unit waste disposal home villagestowns individual house city
633,506,"In the summer season the people are busy cultivating barley, potatoes, peas, beans and turnip. The climate in winter months is so harsh that people keep themselves engaged in festivities and ceremonies. The women are very hard working. They work not only in the house and fields, but also manage small business and shops. Leh, the capital of Ladakh is well connected both by road and air. The National Highway A connects Leh to Kashmir Valley through the Zoji la Pass. Can you name some more passes in the Himalayas?",summer season people busy cultivating barley potato pea bean turnip climate winter month harsh people engaged festivity ceremony woman hard working work house field manage small business shop leh capital ladakh connected road air national highway connects leh kashmir valley zoji pas pass himalaya
634,1247,"The cell works not only to maintain life , but also to maintain the existence of the organism from generation to generation .",cell work maintain life maintain existence organism generation generation
635,1151,Fig. . : Liquids take the shape of the containers they are kept in S f Properties of gases : Activity . : Tie a balloon lled with air at one end of a scale and another balloon which is not lled with air at the other end of the same scale .,fig liquid shape container property gas activity tie balloon lled air scale balloon lled air scale
636,1037,"Explosive force: In some plants their seed capsules mature and then 'explode', shooting the small, light seeds far away from the parent plant.",explosive force plant seed capsule mature explode shooting small light seed parent plant
637,800,Family is the smallest and the most basic group of man .,family smallest basic group man
638,1107,Exercises for the shoulders : Placing the ngers on the shoulders and rotating the arms .,exercise shoulder placing ngers shoulder rotating arm
639,520,"Besides these , man willingly carried many fruits and seeds from one place to another , even from one country to another .",man willingly carried fruit seed place country
640,535,Hence the mother should consider changing the bathing procedure for sometime .,mother changing bathing procedure
641,251,"He said , `` A true student will not go after money or status -- he will be committed to obtaining knowledge so that he can help humanity '' .",he true student money status he committed obtaining knowledge he humanity
642,1174,Cambium produces new xylem tissues towards the centre and the phloem tissues towards the periphery .,cambium produce xylem tissue centre phloem tissue periphery
643,1191,These clothes becomes dirty after using some days and are not suitable for use .,clothes dirty day suitable
644,1524,"In favouarable condition moss plants grow like a green carpet covering soil , on the mountain slope .",favouarable condition moss plant grow green carpet covering soil mountain slope
645,853,Many of the laws were implemented tardily. Due to the delay in implementation the large landlords used it to their best advantage. Using the loop holes in the Tenancy Act the Zamindars regained control over the lands from the tenants. The Zamindars after abolition continued as big landlords claiming the land as their own.,law implemented tardily delay implementation large landlord advantage loop hole tenancy zamindars regained control land tenant zamindars abolition continued big landlord claiming land
646,1061,EXERCISES I. Four alternatives are given to each of the following incomplete a. Zn and HCl c. CaCO and HCl statements / questions .,exercise alternative incomplete zn hcl caco hcl statement question
647,1490,Write a balanced chemical equation for the reaction and include state symbols.,write balanced chemical equation reaction include state symbol
648,1459,(b) Place a similar de-shelled egg in a concentrated salt solution and observe for minutes. The egg shrinks. Why?,place deshelled egg concentrated salt solution observe minute egg shrink
649,382,. A child staying in a coastal region tests the drinking water and also the seawater with his tester. He finds that the compass needle deflects more in the case of seawater. Can you explain the reason?,child staying coastal region test drinking water seawater his tester he find compass needle deflects case seawater explain reason
650,1679,"Every loan agreement specifies an interest rate which the borrower must pay to the lender along with the repayment of the principal. In addition, lenders may demand collateral (security) against loans. Collateral is an asset that the borrower owns (such as land, building, vehicle, livestocks, deposits with banks) and uses this as a guarantee to a lender until the loan is repaid. If the borrower fails to repay the loan, the lender has the right to sell the asset or collateral to obtain payment. Property such as land titles, deposits with banks, livestock are some common examples of collateral used for borrowing.",loan agreement specifies rate borrower pay lender repayment principal addition lender demand collateral security loan collateral asset borrower owns land building vehicle livestock deposit bank guarantee lender loan repaid borrower fails repay loan lender sell asset collateral payment property land title deposit bank livestock common example collateral borrowing
651,1783,Do you remember learning about photosynthesis and food chains in Life and Living? This is an example of a biological system. Let's find out why.,remember learning photosynthesis food chain life living biological
652,1307,This condition provides increasing facilities to improve the standard of living and also to speed up development activities .,condition increasing facility improve standard living speed development activity
653,79,He places this foot at angle close with the center line .,he place foot angle close center
654,234,"Animals , birds and man live on fruits and seeds of plants .",animal bird man live fruit seed plant
655,844,Good health for a dancer may mean being able to stretch his body into difficult but graceful positions.,good health dancer stretch his body difficult graceful position
656,167,She will not be able to understand all these aspects in a day .,she understand aspect day
657,1455,"mineral salts: chemical elements in food needed for growth and development, like, sodium, potassium, calcium, iron, phosphorous etc.",mineral salt chemical element food needed growth development sodium potassium calcium iron phosphorous
658,1729,Jana Gana Mana Adhinayaka Jayahe Bharat Bhagya Vidhata Punjab Sindhu Gujarat Maratha Dravid Utkala Vanga Vindya Himachala Yamuna Ganga Ucchala Jaladhi Taranga Tava shubh naame jaage Tava shubh Ashisha Maage Gaahe tava jaya Gatha Jana Gana Mangala Dhayaka Jaya he Bharat Bhagya Vidhata Jaya he ... Jaya he ... Jaya he ... Jaya Jaya Jaya Jaya he ... .,jana gana mana adhinayaka jayahe bharat bhagya vidhata punjab sindhu gujarat maratha dravid utkala vanga vindya himachala yamuna ganga ucchala jaladhi taranga tava shubh naame jaage tava shubh ashisha maage gaahe tava jaya gatha jana gana mangala dhayaka jaya he bharat bhagya vidhata jaya he jaya he jaya he jaya jaya jaya jaya he
659,55,"For carrying the process of production ahead , man has been accepted as a resource .",carrying process production ahead man accepted resource
660,1764,"Figure .: Amphibians were the first vertebrates to colonise land. They begin their life-cycle in water, and emerge onto land as adults.",figure amphibian vertebrate colonise land lifecycle water emerge land adult
661,274,Early man used this to extinguish re a ) water c ) wood b ) wind d ) stone .,early man extinguish water wood wind stone
662,669,We can bring our mother water .,bring mother water
663,1115,"Uncle : No , Meera , I will be joining a team responsible for the launch of rockets .",uncle meera joining team responsible launch rocket
664,705,Here the seller controls the price and the demand of his commodity at his will .,seller control price demand his commodity his
665,1803,"Clothes should be separated according to plant fibre , animal fibre and synthetic fibre .",clothes separated plant fibre animal fibre synthetic fibre
666,401,"Take the case of a shoe manufacturer. He wants to sell shoes in the market and buy wheat. The shoe manufacturer will first exchange shoes that he has produced for money, and then exchange the money for wheat.",case shoe manufacturer he sell shoe market buy wheat shoe manufacturer exchange shoe he produced money exchange money wheat
667,1274,"After doing this exercise Laila said, Wow! Now I understand that direction is always relative to something! The same place may be east or south or north or west depending upon from where we are looking at it.",exercise laila wow understand direction relative place east south north west depending
668,1517,"Beijing region has developed metallurgical , engineering , shipbuilding , textiles and chemical industries .",beijing region developed metallurgical engineering shipbuilding textile chemical industry
669,223,He obtained land as donation from the landlords of Andhra Pradesh .,he land donation landlord andhra pradesh
670,1322,Observe the following pictures. Read the statement below the first picture and write similar statements about other pictures. Talk about them with your friends.,observe picture read statement picture write statement picture talk friend
671,447,The person giving rst aid should not allow people to from getting around the injured person which prevents the injured fresh air and stop bleeding immediately Stop bleeding if any : If the injured person is unconscious then a little water should be sprinkled on his face and bring him to a conscious state and then start to give rst aid .,person rst aid people injured person prevents injured fresh air bleeding bleeding injured person unconscious water sprinkled his face bring him conscious state start rst aid
672,1380,"Yet another type of permanent tissue is sclerenchyma. It is the tissue which makes the plant hard and stiff. We have seen the husk of a coconut. It is made of sclerenchymatous tissue. The cells of this tissue are dead. They are long and narrow as the walls are thickened due to lignin (a chemical substance which acts as cement and hardens them). Often these walls are so thick that there is no internal space inside the cell (Fig. . c). This tissue is present in stems, around vascular bundles, in the veins of leaves and in the hard covering of seeds and nuts. It provides strength to the plant parts.",type permanent tissue sclerenchyma tissue plant hard stiff husk coconut sclerenchymatous tissue cell tissue dead long narrow wall thickened lignin chemical substance act cement hardens wall thick internal space inside cell fig tissue stem vascular bundle vein leaf hard covering seed nut strength plant part
673,453,How does a man make sounds : There are two light diaphragms like reverse V called vocal chord in human voice machine .,man sound light diaphragm reverse called vocal chord human voice machine
674,1583,Work What happens when force is applied to a marble ?,work force applied marble
675,70,An important step which led to man 's progress is the discovery of agriculture .,step led man progress discovery agriculture
676,399,"Man made fibres include nylon, polyester, acrylic and rayon.",man fibre include nylon polyester acrylic rayon
677,1807,What is the difference between the mahajanapadas and the empires?,difference mahajanapadas empire
678,1261,"Naturally , market economy can not solve the entire problems .",naturally market economy solve entire problem
679,1836,Write the uses of rain on the lines given below .,write rain line
680,1228,the Contribution of the Cholas The Cholas had set up an able and efficient administrative system .,contribution cholas cholas set efficient administrative
681,770,At that time they need modesty scarf and loose clothes for comfortable movement .,time modesty scarf loose clothes comfortable movement
682,368,"Mixing chemicals , dust , micro organisms which are harmful to man and other organisms into air is called air pollution .",mixing chemical dust micro organism harmful man organism air called air pollution
683,1530,What do you mean by making education professional ?,making education professional
684,747,"Thus , the mother has to do this five times and then she has to increase it upto ten times a day .",mother time she increase upto time day
685,1786,There are records about the anthill which spreads for more than acres .,record anthill spread acre
686,126,Eat like a king in the morning .,eat king morning
687,1362,This method is harder compared with the other two methods .,method harder compared method
688,979,"mynas eat the insects , lion eats the deer , tiger eats men etc .",myna eat insect lion eats deer tiger eats men
689,638,"I had always wanted to go to London, and my desire was stimulated by letters from an old workmate who was now working at the Old Kent Road Gas Works I finally decided to go in November, . With two friends I started out to walk the journey, filled with the hope that we would be able to obtain employment, when we get there, with the kind assistance of my friend we had little money when we started, not enough to pay for our food and lodgings each night until we arrived in London. Some days we walked as much as twenty miles, and other days less. Our money was gone at the end of the third day For two nights we slept out once under a haystack, and once in an old farm shed On arrival in London we tried to find my friend but were unsuccessful. Our money was gone, so there was nothing for us to do but to walk around until late at night, and then try to find some place to sleep. We found an old building and slept in it that night. The next day, Sunday, late in the afternoon, we got to the Old Kent Gas Works, and applied for work. To my great surprise, the man we had been looking for was working at the time. He spoke to the foreman and I was given a job.",wanted london desire stimulated letter workmate working kent road gas work finally decided november friend started walk journey filled hope employment kind assistance friend money started pay food lodging night arrived london day walked mile day money day night slept haystack farm arrival london friend unsuccessful money walk late night place sleep building slept night day sunday late afternoon kent gas work applied work great surprise man working time he spoke foreman job
690,161,"If a home manager acquires this quality , she will be able to behave well with others and convince all .",manager acquires quality she behave convince
